"city","state","idhm","income","longevity","education","year"
"Pinheiro Preto","SC",0.771,0.688,0.788,0.838,1991
"Presidente Venceslau","SP",0.768,0.687,0.771,0.847,1991
"Protásio Alves","RS",0.686,0.614,0.681,0.764,1991
"Saldanha Marinho","RS",0.742,0.706,0.705,0.814,1991
"Trombudo Central","SC",0.743,0.654,0.78,0.794,1991
"Vila Flores","RS",0.758,0.675,0.783,0.815,1991
"Brotas","SP",0.753,0.683,0.795,0.78,1991
"Colorado","RS",0.766,0.752,0.727,0.82,1991
"Guapiaçu","SP",0.712,0.672,0.717,0.748,1991
"José Bonifácio","SP",0.745,0.695,0.782,0.759,1991
"Maravilha","SC",0.722,0.659,0.715,0.792,1991
"Planalto Alegre","SC",0.691,0.587,0.791,0.695,1991
"Promissão","SP",0.756,0.687,0.787,0.793,1991
"Rio dos Cedros","SC",0.738,0.637,0.764,0.814,1991
"Santa Cruz do Sul","RS",0.754,0.716,0.699,0.847,1991
"Serra Negra","SP",0.754,0.708,0.763,0.792,1991
"Siderópolis","SC",0.746,0.632,0.763,0.843,1991
"Vila Velha","ES",0.759,0.729,0.686,0.861,1991
"Votuporanga","SP",0.766,0.704,0.769,0.824,1991
"Chapada","RS",0.745,0.635,0.765,0.834,1991
"Mercedes","PR",0.725,0.655,0.726,0.795,1991
"Palhoça","SC",0.742,0.648,0.774,0.804,1991
"Pelotas","RS",0.768,0.701,0.736,0.868,1991
"Poço das Antas","RS",0.743,0.621,0.802,0.805,1991
"Pompéia","SP",0.74,0.658,0.742,0.819,1991
"Santiago","RS",0.754,0.648,0.766,0.849,1991
"São João del Rei","MG",0.727,0.648,0.702,0.831,1991
"São Martinho","SC",0.719,0.581,0.79,0.786,1991
"Teutônia","RS",0.765,0.689,0.747,0.858,1991
"Vale Real","RS",0.742,0.615,0.81,0.802,1991
"Vista Alegre do Alto","SP",0.762,0.716,0.811,0.759,1991
"André da Rocha","RS",0.735,0.626,0.78,0.799,1991
"Araguari","MG",0.754,0.677,0.766,0.819,1991
"Canoas","RS",0.759,0.706,0.712,0.859,1991
"Cravinhos","SP",0.755,0.735,0.749,0.782,1991
"Guaíba","RS",0.76,0.664,0.765,0.85,1991
"Itajubá","MG",0.768,0.692,0.762,0.849,1991
"Itu","SP",0.754,0.732,0.72,0.81,1991
"Jaboticabal","SP",0.762,0.756,0.717,0.812,1991
"Nova Boa Vista","RS",0.728,0.627,0.721,0.837,1991
"Nova Trento","SC",0.744,0.663,0.793,0.775,1991
"Olímpia","SP",0.76,0.695,0.791,0.793,1991
"Pindamonhangaba","SP",0.758,0.704,0.708,0.863,1991
"Pinhais","PR",0.727,0.672,0.697,0.811,1991
"Rosana","SP",0.751,0.692,0.711,0.85,1991
"São José do Hortêncio","RS",0.753,0.613,0.805,0.842,1991
"São José do Rio Pardo","SP",0.761,0.716,0.757,0.809,1991
"São Valentim do Sul","RS",0.704,0.603,0.717,0.792,1991
"Volta Redonda","RJ",0.769,0.691,0.734,0.883,1991
"Xanxerê","SC",0.724,0.658,0.727,0.786,1991
"Araranguá","SC",0.725,0.644,0.734,0.798,1991
"Camargo","RS",0.742,0.658,0.808,0.759,1991
"Campo Grande","MS",0.77,0.737,0.717,0.857,1991
"Gaurama","RS",0.739,0.61,0.8,0.807,1991
"Limeira","SP",0.764,0.72,0.73,0.842,1991
"Linha Nova","RS",0.731,0.629,0.735,0.83,1991
"Orleans","SC",0.736,0.638,0.795,0.774,1991
"São Jorge","RS",0.747,0.643,0.78,0.818,1991
"Votorantim","SP",0.744,0.676,0.727,0.828,1991
"Arroio do Sal","RS",0.758,0.684,0.791,0.8,1991
"Ascurra","SC",0.73,0.661,0.735,0.793,1991
"Barra Funda","RS",0.716,0.591,0.765,0.793,1991
"Cachoeirinha","RS",0.745,0.686,0.705,0.844,1991
"Caieiras","SP",0.762,0.718,0.717,0.851,1991
"Capinzal","SC",0.725,0.633,0.764,0.777,1991
"Cláudia","MT",0.726,0.691,0.78,0.708,1991
"Colina","SP",0.741,0.678,0.751,0.793,1991
"Lages","SC",0.731,0.671,0.699,0.822,1991
"Lajeado Grande","SC",0.703,0.572,0.788,0.75,1991
"Lençóis Paulista","SP",0.75,0.723,0.717,0.809,1991
"Maracajá","SC",0.707,0.607,0.737,0.776,1991
"Maratá","RS",0.745,0.624,0.806,0.805,1991
"Mogi Guaçu","SP",0.762,0.717,0.74,0.83,1991
"Monte Alto","SP",0.766,0.728,0.774,0.795,1991
"Nova Veneza","SC",0.743,0.671,0.761,0.798,1991
"Ourinhos","SP",0.762,0.706,0.761,0.82,1991
"Patos de Minas","MG",0.731,0.677,0.711,0.805,1991
"Rondinha","RS",0.743,0.646,0.779,0.803,1991
"Salvador das Missões","RS",0.721,0.58,0.709,0.874,1991
"Santo Antônio do Planalto","RS",0.728,0.632,0.765,0.788,1991
"Treze Tílias","SC",0.73,0.654,0.723,0.812,1991
"União da Serra","RS",0.721,0.604,0.78,0.78,1991
"Vila Maria","RS",0.744,0.651,0.8,0.78,1991
"Adamantina","SP",0.751,0.71,0.731,0.813,1991
"Andradas","MG",0.735,0.694,0.775,0.736,1991
"Arabutã","SC",0.728,0.631,0.741,0.812,1991
"Aurora","SC",0.732,0.639,0.779,0.778,1991
"Bady Bassitt","SP",0.749,0.702,0.765,0.78,1991
"Capivari de Baixo","SC",0.735,0.616,0.766,0.822,1991
"Dois Irmãos","RS",0.76,0.705,0.747,0.828,1991
"Fagundes Varela","RS",0.747,0.658,0.79,0.794,1991
"Goiatuba","GO",0.729,0.676,0.742,0.768,1991
"Monte Alegre do Sul","SP",0.732,0.668,0.744,0.783,1991
"Roca Sales","RS",0.742,0.652,0.752,0.821,1991
"São Domingos do Sul","RS",0.764,0.677,0.803,0.811,1991
"São Sebastião do Paraíso","MG",0.73,0.674,0.731,0.784,1991
"Socorro","SP",0.73,0.68,0.763,0.747,1991
"Tangará","SC",0.723,0.65,0.758,0.762,1991
"Unaí","MG",0.681,0.607,0.697,0.74,1991
"Agronômica","SC",0.715,0.611,0.779,0.754,1991
"Bálsamo","SP",0.714,0.666,0.717,0.76,1991
"Chuí","RS",0.751,0.723,0.691,0.838,1991
"Colinas","RS",0.75,0.648,0.783,0.819,1991
"Coronel Freitas","SC",0.71,0.597,0.791,0.742,1991
"Embu-Guaçu","SP",0.73,0.7,0.696,0.793,1991
"Gravataí","RS",0.766,0.668,0.776,0.855,1991
"Monte Sião","MG",0.697,0.646,0.744,0.7,1991
"Pará de Minas","MG",0.728,0.659,0.74,0.785,1991
"Santa Cruz do Rio Pardo","SP",0.752,0.698,0.762,0.797,1991
"São Carlos","SC",0.718,0.619,0.731,0.805,1991
"São João do Oeste","SC",0.726,0.577,0.742,0.86,1991
"Xangri-lá","RS",0.769,0.696,0.795,0.815,1991
"Águas da Prata","SP",0.763,0.704,0.775,0.809,1991
"Atalanta","SC",0.715,0.604,0.762,0.78,1991
"Campos de Júlio","MT",0.728,0.674,0.662,0.847,1991
"Casa Branca","SP",0.749,0.712,0.719,0.815,1991
"Cascavel","PR",0.73,0.705,0.668,0.817,1991
"Nova Erechim","SC",0.728,0.628,0.756,0.801,1991
"Nova Friburgo","RJ",0.735,0.706,0.698,0.801,1991
"Pedreira","SP",0.765,0.74,0.757,0.799,1991
"Penápolis","SP",0.743,0.708,0.709,0.813,1991
"Peritiba","SC",0.765,0.709,0.748,0.837,1991
"Presidente Getúlio","SC",0.742,0.636,0.78,0.81,1991
"Rodeio","SC",0.752,0.672,0.772,0.813,1991
"São Joaquim da Barra","SP",0.752,0.719,0.721,0.817,1991
